date,district,temperature,humidity,rainfall,wind_speed
2024-06-01,Dhaka,29.78,84.41,1.94,2.22
2024-06-02,Dhaka,29.44,87.25,14.08,2.98
2024-06-03,Dhaka,28.55,89.48,38.66,2.76
2024-06-04,Dhaka,28.71,89.4,21.42,2.86
2024-06-05,Dhaka,29.44,85.9,15.22,1.62
2024-06-06,Dhaka,29.54,87.61,29.86,1.51
2024-06-07,Dhaka,30.07,85.05,13.86,1.6
2024-06-08,Dhaka,29.56,88.77,18.53,2.88
2024-06-09,Dhaka,29.11,92.22,28.76,2.95
2024-06-10,Dhaka,29.07,92.41,9.26,2.55
2024-06-11,Dhaka,29.21,89.01,2.12,2.34
2024-06-12,Dhaka,29.09,86.55,5.29,2.55
2024-06-13,Dhaka,29.03,90.35,22.35,3.24
2024-06-14,Dhaka,29.04,92.1,21.22,3.54
2024-06-15,Dhaka,29.48,90.53,16.01,4.03
2024-06-16,Dhaka,29.85,89.57,5.59,3.84
2024-06-17,Dhaka,29.19,92.54,10.32,3.41
2024-06-18,Dhaka,29.27,91.08,17.93,4.23
2024-06-19,Dhaka,28.74,93.66,43.58,4.2
2024-06-20,Dhaka,28.43,89.86,6.36,2.69
2024-06-21,Dhaka,29.04,83.86,7.22,1.12
2024-06-22,Dhaka,28.81,87.05,8.97,1.11
2024-06-23,Dhaka,29.45,86.0,4.67,1.95
2024-06-24,Dhaka,29.27,88.08,2.52,2.37
2024-06-25,Dhaka,29.23,87.84,0.75,1.88
2024-06-26,Dhaka,30.27,82.8,7.07,0.96
2024-06-27,Dhaka,28.45,90.74,9.15,2.42
2024-06-28,Dhaka,28.72,90.68,13.89,3.45
2024-06-29,Dhaka,28.75,91.21,20.36,3.77
2024-06-30,Dhaka,28.52,94.9,111.13,3.78
2024-07-01,Dhaka,28.09,94.54,46.61,3.38
2024-07-02,Dhaka,28.4,91.79,33.07,2.77
2024-07-03,Dhaka,28.53,90.39,20.61,3.45
2024-07-04,Dhaka,28.06,91.39,21.55,4.06
2024-07-05,Dhaka,28.38,91.58,14.37,3.69
2024-07-06,Dhaka,28.49,88.86,4.53,2.55
2024-07-07,Dhaka,29.13,88.77,6.19,2.31
2024-07-08,Dhaka,28.81,88.41,4.07,2.53
2024-07-09,Dhaka,28.97,89.65,4.16,2.66
2024-07-10,Dhaka,29.39,89.33,6.97,3.21
2024-07-11,Dhaka,29.16,89.95,25.75,3.39
2024-07-12,Dhaka,28.85,90.13,53.99,3.33
2024-07-13,Dhaka,29.15,88.53,10.99,2.18
2024-07-14,Dhaka,29.51,87.3,3.94,2.09
2024-07-15,Dhaka,29.19,89.24,4.3,1.81
2024-07-16,Dhaka,29.04,89.97,7.49,2.19
2024-07-17,Dhaka,28.75,87.84,1.04,1.44
2024-07-18,Dhaka,29.97,84.21,1.22,1.22
2024-07-19,Dhaka,29.62,87.56,6.68,2.81
2024-07-20,Dhaka,29.14,88.68,6.04,3.34
2024-07-21,Dhaka,28.57,90.52,6.57,3.63
2024-07-22,Dhaka,28.58,90.69,8.26,4.15
2024-07-23,Dhaka,28.72,89.11,4.48,3.82
2024-07-24,Dhaka,28.99,90.32,5.11,3.29
2024-07-25,Dhaka,29.54,88.2,5.94,2.41
2024-07-26,Dhaka,29.93,87.65,5.63,3.64
2024-07-27,Dhaka,29.53,87.72,2.24,3.54
2024-07-28,Dhaka,29.56,87.32,1.92,2.91
2024-07-29,Dhaka,29.25,87.74,4.49,3.27
2024-07-30,Dhaka,28.9,90.66,8.7,3.11
2024-07-31,Dhaka,29.03,89.57,7.74,2.35
2024-08-01,Dhaka,27.94,91.87,55.9,5.5
2024-08-02,Dhaka,27.32,93.85,72.33,4.32
2024-08-03,Dhaka,28.09,91.99,28.88,3.55
2024-08-04,Dhaka,28.67,87.93,12.4,2.36
2024-08-05,Dhaka,28.14,89.85,18.98,2.86
2024-08-06,Dhaka,28.06,90.85,6.61,2.78
2024-08-07,Dhaka,28.15,90.23,5.01,3.19
2024-08-08,Dhaka,27.45,92.82,7.94,2.78
2024-08-09,Dhaka,28.1,90.51,13.83,3.19
2024-08-10,Dhaka,28.76,89.31,13.24,3.19
2024-08-11,Dhaka,28.75,90.23,7.51,2.55
2024-08-12,Dhaka,28.57,91.01,17.78,2.07
2024-08-13,Dhaka,28.98,89.1,12.09,1.74
2024-08-14,Dhaka,28.86,89.52,9.12,1.58
2024-08-15,Dhaka,28.77,89.18,3.0,2.13
2024-08-16,Dhaka,27.96,89.95,18.84,1.76
2024-08-17,Dhaka,27.58,91.79,13.31,2.6
2024-08-18,Dhaka,27.09,94.23,24.36,3.81
2024-08-19,Dhaka,27.43,93.83,48.34,3.45
2024-08-20,Dhaka,28.27,92.33,41.5,3.83
2024-08-21,Dhaka,27.96,95.05,85.01,3.19
2024-08-22,Dhaka,27.63,94.75,50.4,3.01
2024-08-23,Dhaka,27.15,94.31,6.82,2.8
2024-08-24,Dhaka,27.46,91.82,7.65,2.42
2024-08-25,Dhaka,26.91,92.61,22.95,2.66
2024-08-26,Dhaka,26.64,93.17,6.55,3.56
2024-08-27,Dhaka,27.94,89.98,1.37,2.21
2024-08-28,Dhaka,28.49,85.07,2.16,0.99
2024-08-29,Dhaka,29.15,84.83,1.29,0.73
2024-08-30,Dhaka,28.2,90.1,3.87,1.44
2024-08-31,Dhaka,27.59,93.24,11.14,1.87
2024-09-01,Dhaka,28.11,89.1,11.47,1.62
2024-09-02,Dhaka,28.63,86.02,7.89,0.78
2024-09-03,Dhaka,27.46,93.01,40.49,1.15
2024-09-04,Dhaka,28.26,89.26,3.2,1.5
2024-09-05,Dhaka,28.04,91.48,12.01,1.34
2024-09-06,Dhaka,29.22,82.84,6.87,0.74
2024-09-07,Dhaka,29.0,86.47,12.16,1.34
2024-09-08,Dhaka,29.38,86.01,4.35,1.34
2024-09-09,Dhaka,28.76,89.56,4.99,2.03
2024-09-10,Dhaka,28.69,92.3,3.6,2.37
2024-09-11,Dhaka,28.87,89.0,5.79,1.53
2024-09-12,Dhaka,30.06,83.79,6.92,1.42
2024-09-13,Dhaka,29.21,89.78,16.01,2.55
2024-09-14,Dhaka,27.04,94.33,18.29,4.79
2024-09-15,Dhaka,25.83,92.96,55.76,5.31
2024-09-16,Dhaka,27.46,90.03,12.43,3.14
2024-09-17,Dhaka,28.68,85.93,7.62,0.96
2024-09-18,Dhaka,29.38,84.22,0.34,0.9
2024-09-19,Dhaka,29.41,88.35,0.97,1.47
2024-09-20,Dhaka,30.42,85.02,1.77,1.18
2024-09-21,Dhaka,29.39,88.46,9.91,1.53
2024-09-22,Dhaka,29.88,83.8,2.06,1.23
2024-09-23,Dhaka,29.56,87.25,2.87,1.15
2024-09-24,Dhaka,27.76,92.14,11.3,1.83
2024-09-25,Dhaka,26.62,95.26,57.65,2.91
2024-09-26,Dhaka,26.33,93.86,31.79,2.18
2024-09-27,Dhaka,26.99,89.3,13.51,1.68
2024-09-28,Dhaka,28.04,89.07,3.09,1.7
2024-09-29,Dhaka,28.56,90.2,12.17,1.97
2024-09-30,Dhaka,28.81,89.97,6.25,1.6
2024-10-01,Dhaka,28.88,89.23,9.8,1.13
2024-10-02,Dhaka,28.79,86.94,15.72,0.8
2024-10-03,Dhaka,27.56,92.88,43.09,1.67
2024-10-04,Dhaka,27.37,92.27,48.78,3.19
2024-10-05,Dhaka,27.29,93.07,55.65,2.23
2024-10-06,Dhaka,27.31,89.24,13.36,1.66
2024-10-07,Dhaka,27.66,86.77,6.31,0.78
2024-10-08,Dhaka,27.58,87.75,8.5,0.99
2024-10-09,Dhaka,27.43,87.73,5.23,0.92
2024-10-10,Dhaka,26.93,90.88,5.92,1.27
2024-10-11,Dhaka,27.43,90.96,9.9,1.87
2024-10-12,Dhaka,27.87,87.32,30.24,1.23
2024-10-13,Dhaka,27.56,84.77,2.1,0.8
2024-10-14,Dhaka,26.55,83.21,0.0,1.09
2024-10-15,Dhaka,26.56,82.42,0.05,0.96
2024-10-16,Dhaka,27.02,80.83,0.65,0.67
2024-10-17,Dhaka,26.84,85.41,4.76,1.05
2024-10-18,Dhaka,26.81,87.38,4.24,0.95
2024-10-19,Dhaka,27.31,82.46,5.27,0.64
2024-10-20,Dhaka,26.06,84.88,0.55,1.1
2024-10-21,Dhaka,26.02,81.92,0.0,0.97
2024-10-22,Dhaka,27.06,84.66,13.46,1.18
2024-10-23,Dhaka,26.3,92.15,143.66,2.05
2024-10-24,Dhaka,25.39,92.87,12.66,3.17
2024-10-25,Dhaka,26.16,91.01,3.64,2.62
2024-10-26,Dhaka,26.96,88.34,4.44,1.54
2024-10-27,Dhaka,27.14,80.88,0.14,0.59
2024-10-28,Dhaka,26.32,85.62,0.0,1.13
2024-10-29,Dhaka,27.08,80.28,0.03,0.61
2024-10-30,Dhaka,27.38,81.36,1.08,0.83
2024-10-31,Dhaka,27.83,83.47,1.47,0.9
2024-11-01,Dhaka,26.7,88.22,4.61,0.97
2024-11-02,Dhaka,25.05,81.79,0.01,1.3
2024-11-03,Dhaka,24.85,79.46,0.0,1.09
2024-11-04,Dhaka,24.92,82.29,0.02,1.05
2024-11-05,Dhaka,25.66,81.67,4.63,1.06
2024-11-06,Dhaka,24.39,88.43,6.94,1.19
2024-11-07,Dhaka,23.9,86.14,2.9,1.41
2024-11-08,Dhaka,23.46,83.07,0.0,1.55
2024-11-09,Dhaka,23.79,83.36,0.0,1.46
2024-11-10,Dhaka,23.98,80.71,0.0,1.02
2024-11-11,Dhaka,23.6,82.93,0.0,1.14
2024-11-12,Dhaka,23.5,81.73,0.0,1.27
2024-11-13,Dhaka,22.03,80.09,0.0,1.45
2024-11-14,Dhaka,22.04,85.1,0.0,1.55
2024-11-15,Dhaka,21.89,84.88,0.0,1.41
2024-11-16,Dhaka,21.86,81.77,0.0,1.24
2024-11-17,Dhaka,21.2,75.77,0.0,1.02
2024-11-18,Dhaka,21.27,74.28,0.0,0.86
2024-11-19,Dhaka,21.59,73.76,0.0,0.93
2024-11-20,Dhaka,21.07,71.69,0.0,0.98
2024-11-21,Dhaka,20.95,70.59,0.0,1.02
2024-11-22,Dhaka,21.07,66.26,0.0,0.73
2024-11-23,Dhaka,21.56,71.7,0.0,0.88
2024-11-24,Dhaka,20.01,83.74,0.0,1.29
2024-11-25,Dhaka,19.98,82.26,0.0,1.32
2024-11-26,Dhaka,20.21,78.37,0.0,0.99
2024-11-27,Dhaka,20.06,79.06,0.0,1.18
2024-11-28,Dhaka,20.32,81.62,0.0,1.12
2024-11-29,Dhaka,21.63,82.18,0.0,1.25
2024-11-30,Dhaka,21.52,80.05,0.09,1.21
2024-12-01,Dhaka,20.14,78.43,1.35,1.09
2024-12-02,Dhaka,19.74,80.77,0.01,1.24
2024-12-03,Dhaka,19.35,81.38,0.0,1.43
2024-12-04,Dhaka,18.56,83.03,0.0,1.68
2024-12-05,Dhaka,19.1,77.13,0.0,1.05
2024-12-06,Dhaka,17.76,79.78,0.0,1.49
2024-12-07,Dhaka,17.52,72.38,0.0,1.3
2024-12-08,Dhaka,17.54,72.32,0.0,1.03
2024-12-09,Dhaka,16.79,81.35,0.0,1.03
2024-12-10,Dhaka,17.85,83.05,0.0,1.31
2024-12-11,Dhaka,16.09,83.64,0.0,1.93
2024-12-12,Dhaka,15.63,85.51,0.0,1.48
2024-12-13,Dhaka,16.35,82.92,0.0,1.25
2024-12-14,Dhaka,16.54,79.19,0.0,1.37
2024-12-15,Dhaka,16.13,75.91,0.0,1.3
2024-12-16,Dhaka,17.41,70.01,0.0,1.0
2024-12-17,Dhaka,18.42,77.47,0.0,1.07
2024-12-18,Dhaka,18.21,74.36,0.01,1.14
2024-12-19,Dhaka,18.19,74.75,0.0,0.95
2024-12-20,Dhaka,17.7,76.16,0.0,1.11
2024-12-21,Dhaka,17.03,83.67,0.12,1.37
2024-12-22,Dhaka,16.75,82.03,0.13,1.6
2024-12-23,Dhaka,17.73,70.46,0.02,1.07
2024-12-24,Dhaka,17.62,71.34,0.0,1.2
2024-12-25,Dhaka,17.76,69.31,0.0,1.13
2024-12-26,Dhaka,18.38,76.03,0.0,1.46
2024-12-27,Dhaka,18.58,73.25,0.0,1.13
2024-12-28,Dhaka,19.38,67.64,0.0,1.03
2024-12-29,Dhaka,19.0,74.22,0.0,1.24
2024-12-30,Dhaka,19.13,76.78,0.0,1.32
2024-12-31,Dhaka,17.54,80.71,0.0,1.73
2025-01-01,Dhaka,16.62,84.31,0.0,1.8
2025-01-02,Dhaka,16.92,82.37,0.0,1.47
2025-01-03,Dhaka,17.27,80.8,0.0,1.16
2025-01-04,Dhaka,18.3,81.64,0.0,1.11
2025-01-05,Dhaka,19.84,80.11,0.0,0.97
2025-01-06,Dhaka,20.98,72.34,0.0,0.84
2025-01-07,Dhaka,20.06,78.98,0.0,1.43
2025-01-08,Dhaka,17.76,78.19,0.0,1.8
2025-01-09,Dhaka,15.59,72.6,0.0,1.31
2025-01-10,Dhaka,15.89,72.75,0.0,1.07
2025-01-11,Dhaka,17.86,66.71,0.0,1.1
2025-01-12,Dhaka,19.74,59.13,0.0,0.95
2025-01-13,Dhaka,19.41,62.78,0.0,0.93
2025-01-14,Dhaka,17.91,71.8,0.0,1.81
2025-01-15,Dhaka,17.69,72.49,0.0,1.22
2025-01-16,Dhaka,19.36,64.96,0.0,0.75
2025-01-17,Dhaka,18.8,70.33,0.0,1.24
2025-01-18,Dhaka,18.28,74.11,0.0,1.88
2025-01-19,Dhaka,17.26,72.11,0.0,1.94
2025-01-20,Dhaka,17.07,71.56,0.0,1.37
2025-01-21,Dhaka,17.59,69.81,0.0,1.09
2025-01-22,Dhaka,18.17,72.42,0.0,1.02
2025-01-23,Dhaka,17.9,72.79,0.0,1.25
2025-01-24,Dhaka,17.94,67.13,0.0,1.12
2025-01-25,Dhaka,17.92,68.84,0.0,1.32
2025-01-26,Dhaka,17.0,67.16,0.0,1.44
2025-01-27,Dhaka,17.83,72.38,0.0,1.12
2025-01-28,Dhaka,18.39,69.58,0.0,1.07
2025-01-29,Dhaka,18.56,59.05,0.0,1.16
2025-01-30,Dhaka,19.41,69.04,3.87,1.7
2025-01-31,Dhaka,21.73,80.85,0.31,1.88
2025-02-01,Dhaka,21.18,71.95,0.08,1.13
2025-02-02,Dhaka,19.72,70.24,0.0,1.48
2025-02-03,Dhaka,19.95,65.83,0.0,1.47
2025-02-04,Dhaka,19.47,62.75,0.0,1.46
2025-02-05,Dhaka,20.58,59.75,0.0,1.19
2025-02-06,Dhaka,21.3,67.61,0.0,1.54
2025-02-07,Dhaka,20.06,52.08,0.0,1.28
2025-02-08,Dhaka,18.48,46.05,0.0,1.38
2025-02-09,Dhaka,18.09,51.34,0.0,1.39
2025-02-10,Dhaka,20.0,48.13,0.0,1.12
2025-02-11,Dhaka,20.42,66.75,0.0,1.5
2025-02-12,Dhaka,22.25,68.72,0.0,1.66
2025-02-13,Dhaka,23.11,70.64,0.05,1.69
2025-02-14,Dhaka,20.81,48.85,0.06,1.51
2025-02-15,Dhaka,19.82,44.37,0.0,1.51
2025-02-16,Dhaka,21.27,43.08,0.0,1.31
2025-02-17,Dhaka,22.52,57.52,0.0,1.08
2025-02-18,Dhaka,24.21,59.59,0.0,1.04
2025-02-19,Dhaka,23.92,55.54,0.0,1.08
2025-02-20,Dhaka,24.03,55.0,0.02,1.15
2025-02-21,Dhaka,23.97,54.51,0.0,1.22
2025-02-22,Dhaka,25.09,52.61,0.01,1.13
2025-02-23,Dhaka,23.51,62.28,4.39,1.2
2025-02-24,Dhaka,23.25,59.84,0.0,1.6
2025-02-25,Dhaka,22.97,49.52,0.0,1.68
2025-02-26,Dhaka,22.33,50.68,0.0,1.83
2025-02-27,Dhaka,22.85,53.55,0.0,1.86
2025-02-28,Dhaka,24.06,50.2,0.0,1.17
2025-03-01,Dhaka,25.16,50.65,0.0,1.57
2025-03-02,Dhaka,26.57,59.45,0.0,2.04
2025-03-03,Dhaka,26.28,59.16,0.0,1.62
2025-03-04,Dhaka,25.18,40.53,0.0,1.62
2025-03-05,Dhaka,24.05,45.5,0.0,2.16
2025-03-06,Dhaka,23.53,36.36,0.0,1.33
2025-03-07,Dhaka,22.27,39.17,0.0,1.98
2025-03-08,Dhaka,23.73,41.68,0.01,1.53
2025-03-09,Dhaka,24.48,57.52,0.2,1.05
2025-03-10,Dhaka,25.05,47.12,0.41,1.51
2025-03-11,Dhaka,26.81,45.67,0.0,1.31
2025-03-12,Dhaka,27.05,44.91,0.0,1.93
2025-03-13,Dhaka,27.89,61.16,0.09,2.15
2025-03-14,Dhaka,28.53,62.55,0.72,2.01
2025-03-15,Dhaka,28.93,65.51,0.4,1.83
2025-03-16,Dhaka,29.75,60.02,0.75,2.25
2025-03-17,Dhaka,29.71,57.34,0.65,2.53
2025-03-18,Dhaka,29.4,52.05,0.58,1.92
2025-03-19,Dhaka,29.01,50.99,0.1,1.43
2025-03-20,Dhaka,28.95,54.15,0.06,1.67
2025-03-21,Dhaka,25.29,58.38,0.29,2.13
2025-03-22,Dhaka,24.14,62.47,0.17,1.27
2025-03-23,Dhaka,25.54,54.0,0.15,1.68
2025-03-24,Dhaka,25.93,48.92,0.0,1.84
2025-03-25,Dhaka,26.55,43.83,0.0,1.64
2025-03-26,Dhaka,28.14,38.65,0.0,1.17
2025-03-27,Dhaka,29.01,47.11,0.0,1.3
2025-03-28,Dhaka,29.95,54.19,0.0,2.27
2025-03-29,Dhaka,30.3,54.59,0.0,2.6
2025-03-30,Dhaka,29.89,58.17,0.0,1.79
2025-03-31,Dhaka,30.07,54.69,0.12,1.82
2025-04-01,Dhaka,31.39,50.39,0.15,2.4
2025-04-02,Dhaka,31.48,47.09,0.0,1.38
2025-04-03,Dhaka,31.45,43.11,0.0,1.83
2025-04-04,Dhaka,31.9,34.65,0.0,1.48
2025-04-05,Dhaka,32.49,38.1,0.42,2.02
2025-04-06,Dhaka,31.47,50.53,3.57,1.98
2025-04-07,Dhaka,31.41,45.36,1.8,1.07
2025-04-08,Dhaka,31.22,50.82,1.38,1.54
2025-04-09,Dhaka,31.09,47.26,0.25,1.18
2025-04-10,Dhaka,31.52,44.72,0.05,1.48
2025-04-11,Dhaka,31.01,48.86,1.17,1.7
2025-04-12,Dhaka,31.81,48.19,0.64,1.29
2025-04-13,Dhaka,31.88,42.88,0.86,1.62
2025-04-14,Dhaka,32.67,37.8,1.0,0.68
2025-04-15,Dhaka,32.05,45.2,2.23,1.01
2025-04-16,Dhaka,30.66,51.07,3.11,1.63
2025-04-17,Dhaka,29.8,56.21,2.61,1.42
2025-04-18,Dhaka,30.17,58.37,4.26,1.45
2025-04-19,Dhaka,29.73,59.48,3.12,1.17
2025-04-20,Dhaka,31.22,60.88,1.74,1.8
2025-04-21,Dhaka,32.71,60.88,1.93,2.68
2025-04-22,Dhaka,32.99,60.55,2.16,3.08
2025-04-23,Dhaka,33.2,57.43,1.09,3.73
2025-04-24,Dhaka,-999.0,-999.0,-999.0,-999.0
2025-04-25,Dhaka,-999.0,-999.0,-999.0,-999.0
2025-04-26,Dhaka,-999.0,-999.0,-999.0,-999.0
2025-04-27,Dhaka,-999.0,-999.0,-999.0,-999.0
2024-04-27,Chittagong,30.73,67.83,0.0,2.98
2024-04-28,Chittagong,30.69,72.4,0.0,3.03
2024-04-29,Chittagong,31.1,71.16,0.0,3.53
2024-04-30,Chittagong,31.05,71.48,0.01,4.72
2024-05-01,Chittagong,30.55,73.14,1.27,4.64
2024-05-02,Chittagong,29.86,78.34,11.75,4.82
2024-05-03,Chittagong,30.29,75.94,12.98,3.52
2024-05-04,Chittagong,30.18,71.62,8.14,1.86
2024-05-05,Chittagong,28.8,83.04,16.27,4.04
2024-05-06,Chittagong,28.3,86.46,51.9,3.57
2024-05-07,Chittagong,27.41,79.78,27.64,1.52
2024-05-08,Chittagong,28.27,67.68,25.25,1.3
2024-05-09,Chittagong,27.96,71.91,0.23,1.48
2024-05-10,Chittagong,28.6,74.89,1.73,1.34
2024-05-11,Chittagong,28.21,74.32,10.49,1.35
2024-05-12,Chittagong,28.36,72.77,5.65,1.51
2024-05-13,Chittagong,28.84,73.37,6.06,1.38
2024-05-14,Chittagong,29.69,72.75,0.55,1.4
2024-05-15,Chittagong,29.81,75.65,0.06,0.96
2024-05-16,Chittagong,29.98,74.37,0.0,1.47
2024-05-17,Chittagong,30.1,78.27,0.12,1.64
2024-05-18,Chittagong,29.13,82.03,3.91,1.48
2024-05-19,Chittagong,29.28,82.09,19.36,1.36
2024-05-20,Chittagong,29.93,74.91,21.84,1.0
2024-05-21,Chittagong,29.94,76.73,7.01,1.44
2024-05-22,Chittagong,30.63,72.28,2.51,1.35
2024-05-23,Chittagong,30.77,74.31,2.9,1.69
2024-05-24,Chittagong,30.59,77.16,6.71,2.18
2024-05-25,Chittagong,30.69,77.16,11.05,2.57
2024-05-26,Chittagong,29.41,86.29,113.35,4.45
2024-05-27,Chittagong,29.21,88.45,90.27,9.3
2024-05-28,Chittagong,29.66,91.5,57.15,6.39
2024-05-29,Chittagong,29.72,89.3,28.56,5.2
2024-05-30,Chittagong,29.31,89.75,12.99,3.68
2024-05-31,Chittagong,29.32,87.31,13.92,3.05
2024-06-01,Chittagong,29.89,83.25,8.78,2.11
2024-06-02,Chittagong,29.41,84.96,3.13,3.02
2024-06-03,Chittagong,28.74,86.78,48.5,3.06
2024-06-04,Chittagong,28.79,86.71,8.84,2.94
2024-06-05,Chittagong,29.06,86.77,7.46,2.11
2024-06-06,Chittagong,28.81,89.2,10.78,1.94
2024-06-07,Chittagong,29.1,89.84,16.42,3.22
2024-06-08,Chittagong,29.0,88.94,17.39,3.69
2024-06-09,Chittagong,29.42,87.8,22.71,3.02
2024-06-10,Chittagong,29.31,89.24,5.68,2.89
2024-06-11,Chittagong,29.64,84.79,6.37,2.69
2024-06-12,Chittagong,28.85,87.09,8.27,3.39
2024-06-13,Chittagong,28.68,88.33,19.26,2.55
2024-06-14,Chittagong,29.08,89.94,31.62,4.02
2024-06-15,Chittagong,28.92,89.5,21.72,4.51
2024-06-16,Chittagong,28.99,88.3,9.48,3.89
2024-06-17,Chittagong,29.2,88.73,9.4,4.17
2024-06-18,Chittagong,28.97,89.17,25.17,4.45
2024-06-19,Chittagong,28.87,89.04,61.33,4.05
2024-06-20,Chittagong,28.17,90.61,13.31,2.52
2024-06-21,Chittagong,29.25,84.66,9.53,1.61
2024-06-22,Chittagong,28.73,87.56,14.72,2.62
2024-06-23,Chittagong,28.69,87.78,12.5,1.91
2024-06-24,Chittagong,28.82,87.35,5.34,2.31
2024-06-25,Chittagong,29.28,85.69,10.81,1.58
2024-06-26,Chittagong,29.39,85.95,12.35,1.54
2024-06-27,Chittagong,28.63,86.84,13.38,3.58
2024-06-28,Chittagong,28.93,88.12,23.44,5.42
2024-06-29,Chittagong,28.78,89.04,44.63,5.84
2024-06-30,Chittagong,28.37,92.01,59.92,5.82
2024-07-01,Chittagong,28.24,93.44,150.83,4.86
2024-07-02,Chittagong,28.16,91.97,32.98,3.39
2024-07-03,Chittagong,27.84,91.84,45.05,4.29
2024-07-04,Chittagong,28.03,88.89,27.51,4.43
2024-07-05,Chittagong,27.98,89.85,30.95,3.64
2024-07-06,Chittagong,28.54,88.75,23.92,3.52
2024-07-07,Chittagong,28.31,89.21,13.64,2.66
2024-07-08,Chittagong,28.38,87.2,3.87,2.27
2024-07-09,Chittagong,28.58,88.98,10.66,3.29
2024-07-10,Chittagong,28.35,90.29,31.53,3.81
2024-07-11,Chittagong,28.01,90.13,48.99,3.64
2024-07-12,Chittagong,27.76,89.02,48.36,3.32
2024-07-13,Chittagong,28.56,88.29,13.45,3.21
2024-07-14,Chittagong,29.12,86.74,0.79,2.12
2024-07-15,Chittagong,29.49,85.68,0.78,3.12
2024-07-16,Chittagong,28.91,87.96,1.64,3.13
2024-07-17,Chittagong,29.47,85.76,1.92,2.24
2024-07-18,Chittagong,30.15,82.16,1.15,1.74
2024-07-19,Chittagong,29.19,86.64,2.1,3.64
2024-07-20,Chittagong,28.68,87.87,8.21,4.16
2024-07-21,Chittagong,28.37,88.9,9.9,4.76
2024-07-22,Chittagong,28.12,90.62,6.27,4.8
2024-07-23,Chittagong,28.42,88.59,4.14,4.8
2024-07-24,Chittagong,28.65,89.29,7.77,4.23
2024-07-25,Chittagong,29.3,88.34,10.22,3.15
2024-07-26,Chittagong,29.19,87.93,6.04,4.06
2024-07-27,Chittagong,28.87,87.54,2.6,4.15
2024-07-28,Chittagong,28.75,87.85,2.31,3.65
2024-07-29,Chittagong,28.44,87.81,36.07,4.44
2024-07-30,Chittagong,28.42,89.5,35.0,3.93
2024-07-31,Chittagong,28.0,93.62,48.87,3.57
2024-08-01,Chittagong,27.6,93.51,155.46,5.66
2024-08-02,Chittagong,27.44,92.64,94.06,4.66
2024-08-03,Chittagong,27.97,90.95,45.93,4.46
2024-08-04,Chittagong,28.07,88.72,83.97,3.06
2024-08-05,Chittagong,27.39,89.9,20.72,2.75
2024-08-06,Chittagong,27.68,89.96,9.89,3.06
2024-08-07,Chittagong,27.4,90.74,14.46,3.52
2024-08-08,Chittagong,27.27,92.6,35.07,4.05
2024-08-09,Chittagong,27.83,89.71,21.4,4.23
2024-08-10,Chittagong,27.9,89.34,44.06,3.98
2024-08-11,Chittagong,27.95,90.42,51.28,3.23
2024-08-12,Chittagong,28.18,89.5,29.69,2.3
2024-08-13,Chittagong,28.28,88.36,5.78,2.33
2024-08-14,Chittagong,28.63,89.15,10.41,2.26
2024-08-15,Chittagong,27.82,90.64,2.13,2.51
2024-08-16,Chittagong,27.43,93.28,75.36,2.39
2024-08-17,Chittagong,27.62,89.38,90.19,3.54
2024-08-18,Chittagong,27.43,92.43,73.12,4.43
